C:\Users\2213226\Documents\comprasv3> python.exe .\main.py
11:45:42 | INFO     | 🚀 INICIANDO PIPELINE DE EXTRAÇÃO DE COMPRAS PÚBLICAS
11:45:42 | INFO     | ============================================================
[11:52:07] ✅ DONE | NA | DISPENSA        | 2025
[11:52:08] ❌ FAIL | NA | OUTRASMODALIDADES | 2025
[11:52:11] ❌ FAIL | NA | PREGAO          | 2025
[11:52:12] ✅ DONE | NA | DISPENSA        | 2026
[11:52:14] ❌ FAIL | NA | OUTRASMODALIDADES | 2026
[11:52:16] ❌ FAIL | NA | PREGAO          | 2026
[11:52:16] ✅ DONE | NV | DISPENSA        | 2016
[11:52:18] ❌ FAIL | NV | OUTRASMODALIDADES | 2016
[11:52:20] ❌ FAIL | NV | PREGAO          | 2016
[11:52:21] ✅ DONE | NV | DISPENSA        | 2017
[11:52:23] ❌ FAIL | NV | OUTRASMODALIDADES | 2017
[11:52:25] ❌ FAIL | NV | PREGAO          | 2017
[11:52:26] ✅ DONE | NV | DISPENSA        | 2018
[11:52:27] ❌ FAIL | NV | OUTRASMODALIDADES | 2018
[11:52:29] ❌ FAIL | NV | PREGAO          | 2018
[11:52:29] ✅ DONE | NV | DISPENSA        | 2019
[11:52:32] ❌ FAIL | NV | OUTRASMODALIDADES | 2019
[11:52:34] ❌ FAIL | NV | PREGAO          | 2019
[11:52:34] ✅ DONE | NV | DISPENSA        | 2020
[11:52:36] ❌ FAIL | NV | OUTRASMODALIDADES | 2020
[11:52:39] ❌ FAIL | NV | PREGAO          | 2020
[11:52:39] ✅ DONE | NV | DISPENSA        | 2021
[11:52:40] ❌ FAIL | NV | OUTRASMODALIDADES | 2021
[11:52:42] ❌ FAIL | NV | PREGAO          | 2021
[11:52:42] ✅ DONE | NV | DISPENSA        | 2022
[11:52:45] ❌ FAIL | NV | OUTRASMODALIDADES | 2022
[11:52:47] ❌ FAIL | NV | PREGAO          | 2022
[11:52:47] ✅ DONE | NV | DISPENSA        | 2023
[11:52:49] ❌ FAIL | NV | OUTRASMODALIDADES | 2023
[11:52:52] ❌ FAIL | NV | PREGAO          | 2023
[11:52:52] ✅ DONE | NV | DISPENSA        | 2024
[11:52:53] ❌ FAIL | NV | OUTRASMODALIDADES | 2024
[11:52:55] ❌ FAIL | NV | PREGAO          | 2024
[11:52:55] ✅ DONE | NV | DISPENSA        | 2025
[11:52:59] ❌ FAIL | NV | OUTRASMODALIDADES | 2025
[11:53:00] ❌ FAIL | NV | PREGAO          | 2025
[11:53:01] ✅ DONE | NV | DISPENSA        | 2026
[11:53:02] ❌ FAIL | NV | OUTRASMODALIDADES | 2026
[11:53:05] ❌ FAIL | NV | PREGAO          | 2026
[11:53:06] ✅ DONE | PP | DISPENSA        | 2016
[11:53:08] ❌ FAIL | PP | OUTRASMODALIDADES | 2016
[11:53:09] ❌ FAIL | PP | PREGAO          | 2016
[11:53:09] ✅ DONE | PP | DISPENSA        | 2017
[11:53:13] ❌ FAIL | PP | OUTRASMODALIDADES | 2017
[11:53:14] ❌ FAIL | PP | PREGAO          | 2017
[11:53:14] ✅ DONE | PP | DISPENSA        | 2018
[11:53:16] ❌ FAIL | PP | OUTRASMODALIDADES | 2018
[11:53:19] ❌ FAIL | PP | PREGAO          | 2018
[11:53:19] ✅ DONE | PP | DISPENSA        | 2019
[11:53:21] ❌ FAIL | PP | OUTRASMODALIDADES | 2019
[11:53:22] ❌ FAIL | PP | PREGAO          | 2019
[11:53:22] ✅ DONE | PP | DISPENSA        | 2020
[11:53:26] ❌ FAIL | PP | OUTRASMODALIDADES | 2020
[11:53:27] ❌ FAIL | PP | PREGAO          | 2020
[11:53:28] ✅ DONE | PP | DISPENSA        | 2021
[11:53:29] ❌ FAIL | PP | OUTRASMODALIDADES | 2021
[11:53:32] ❌ FAIL | PP | PREGAO          | 2021
[11:53:32] ✅ DONE | PP | DISPENSA        | 2022
[11:53:34] ❌ FAIL | PP | OUTRASMODALIDADES | 2022
[11:53:35] ❌ FAIL | PP | PREGAO          | 2022
[11:53:35] ✅ DONE | PP | DISPENSA        | 2023
[11:53:39] ❌ FAIL | PP | OUTRASMODALIDADES | 2023
[11:53:41] ❌ FAIL | PP | PREGAO          | 2023
[11:53:41] ✅ DONE | PP | DISPENSA        | 2024
[11:53:42] ❌ FAIL | PP | OUTRASMODALIDADES | 2024
[11:53:45] ❌ FAIL | PP | PREGAO          | 2024
[11:53:45] ✅ DONE | PP | DISPENSA        | 2025
[11:53:47] ❌ FAIL | PP | OUTRASMODALIDADES | 2025
[11:53:48] ❌ FAIL | PP | PREGAO          | 2025
[11:53:48] ✅ DONE | PP | DISPENSA        | 2026
[11:53:52] ❌ FAIL | PP | OUTRASMODALIDADES | 2026
[11:53:54] ❌ FAIL | PP | PREGAO          | 2026
[11:53:54] ✅ DONE | TL | DISPENSA        | 2016
[11:53:55] ❌ FAIL | TL | OUTRASMODALIDADES | 2016
[11:53:59] ❌ FAIL | TL | PREGAO          | 2016
[11:53:59] ✅ DONE | TL | DISPENSA        | 2017
[11:54:00] ❌ FAIL | TL | OUTRASMODALIDADES | 2017
[11:54:01] ❌ FAIL | TL | PREGAO          | 2017
[11:54:01] ✅ DONE | TL | DISPENSA        | 2018
[11:54:05] ❌ FAIL | TL | OUTRASMODALIDADES | 2018
[11:54:07] ❌ FAIL | TL | PREGAO          | 2018
[11:54:07] ✅ DONE | TL | DISPENSA        | 2019
[11:54:08] ❌ FAIL | TL | OUTRASMODALIDADES | 2019
[11:54:12] ❌ FAIL | TL | PREGAO          | 2019
[11:54:12] ✅ DONE | TL | DISPENSA        | 2020
[11:54:14] ❌ FAIL | TL | OUTRASMODALIDADES | 2020
[11:54:14] ❌ FAIL | TL | PREGAO          | 2020
[11:54:14] ✅ DONE | TL | DISPENSA        | 2021
[11:54:18] ❌ FAIL | TL | OUTRASMODALIDADES | 2021
[11:54:20] ❌ FAIL | TL | PREGAO          | 2021
[11:54:21] ✅ DONE | TL | DISPENSA        | 2022
[11:54:21] ❌ FAIL | TL | OUTRASMODALIDADES | 2022
[11:54:25] ❌ FAIL | TL | PREGAO          | 2022
[11:54:25] ✅ DONE | TL | DISPENSA        | 2023
[11:54:27] ❌ FAIL | TL | OUTRASMODALIDADES | 2023
[11:54:27] ❌ FAIL | TL | PREGAO          | 2023
[11:54:27] ✅ DONE | TL | DISPENSA        | 2024
[11:54:31] ❌ FAIL | TL | OUTRASMODALIDADES | 2024
[11:54:33] ❌ FAIL | TL | PREGAO          | 2024
[11:54:34] ✅ DONE | TL | DISPENSA        | 2025
[11:54:34] ❌ FAIL | TL | OUTRASMODALIDADES | 2025
[11:54:38] ❌ FAIL | TL | PREGAO          | 2025
[11:54:38] ✅ DONE | TL | DISPENSA        | 2026
[11:54:40] ❌ FAIL | TL | OUTRASMODALIDADES | 2026
[11:54:41] ❌ FAIL | TL | PREGAO          | 2026
11:54:41 | INFO     | ▶ Módulo LEI 14.133 — 24 tarefas | 2 threads
