arquivo_origem;data_extracao;numero_ata;numero_controle_pncp_ata;numero_controle_pncp_compra;id_compra;numero_compra;ano_compra;modalidade_codigo;modalidade_nome;uasg_codigo;uasg_nome;data_assinatura;data_vigencia_inicial;data_vigencia_final;valor_total;quantidade_itens;status_ata;ata_excluida;objeto_ata;link_ata_pncp;link_compra_pncp
atas_manuais.json;2026-04-01 12:16:29;00125/2025;10673078000120-1-000080/2025-000001;10673078000120-1-000080/2025;15813205902272025;90227;2025;05;Pregão;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;03/12/2025;05/12/2025;05/12/2026;;;Ata de Registro de Preços;Não;Dado não disponível na API do governo;;
atas_manuais.json;2026-04-01 12:16:29;00167/2025;10673078000120-1-000097/2025-000001;10673078000120-1-000097/2025;15813205901492025;90149;2025;05;Pregão;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;04/12/2025;05/12/2025;04/12/2026;;;Ata de Registro de Preços;Não;Dado não disponível na API do governo;;
atas_manuais.json;2026-04-01 12:16:29;00168/2025;10673078000120-1-000097/2025-000003;10673078000120-1-000097/2025;15813205901492025;90149;2025;05;Pregão;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;04/12/2025;05/12/2025;04/12/2026;;;Ata de Registro de Preços;Não;Dado não disponível na API do governo;;
atas_manuais.json;2026-04-01 12:16:29;00166/2025;10673078000120-1-000097/2025-000004;10673078000120-1-000097/2025;15813205901492025;90149;2025;05;Pregão;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;04/12/2025;05/12/2025;04/12/2026;;;Ata de Registro de Preços;Não;Dado não disponível na API do governo;;
atas_RT_2026_p1.json;2026-04-01 14:59:58;00001/2026;10673078000120-1-000080/2024-000004;10673078000120-1-000080/2024;15813205900142024;90014;2026;05;Pregão;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;05/01/2026;06/01/2026;06/01/2027;779961,60;;Ata de Registro de Preços;Não;Contratação de empresa especializada na prestação de serviço terceirizado de vigilância e segurança patrirmonial;https://pncp.gov.br/app/atas/10673078000120/2024/80/4;https://pncp.gov.br/app/editais/10673078000120/2024/000080
atas_manuais.json;2026-04-01 12:16:29;00047/2025;10673078000120-1-000101/2024-000001;10673078000120-1-000101/2024;15813205900242024;90024;2024;05;Pregão;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;05/06/2025;06/06/2025;08/06/2026;;;Ata de Registro de Preços;Não;Dado não disponível na API do governo;;
atas_manuais.json;2026-04-01 12:16:29;00048/2025;10673078000120-1-000101/2024-000002;10673078000120-1-000101/2024;15813205900242024;90024;2024;05;Pregão;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;05/06/2025;06/06/2025;08/06/2026;;;Ata de Registro de Preços;Não;Dado não disponível na API do governo;;
atas_manuais.json;2026-04-01 12:16:29;00049/2025;10673078000120-1-000101/2024-000003;10673078000120-1-000101/2024;15813205900242024;90024;2024;05;Pregão;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;05/06/2025;06/06/2025;08/06/2026;;;Ata de Registro de Preços;Não;Dado não disponível na API do governo;;
atas_manuais.json;2026-04-01 12:16:29;00050/2025;10673078000120-1-000101/2024-000004;10673078000120-1-000101/2024;15813205900242024;90024;2024;05;Pregão;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;05/06/2025;06/06/2025;08/06/2026;;;Ata de Registro de Preços;Não;Dado não disponível na API do governo;;
atas_manuais.json;2026-04-01 12:16:29;00051/2025;10673078000120-1-000139/2024-000001;10673078000120-1-000139/2024;15813205902372024;90237;2024;05;Pregão;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;05/06/2025;06/06/2025;06/06/2026;;;Ata de Registro de Preços;Não;Dado não disponível na API do governo;;
atas_manuais.json;2026-04-01 12:16:29;00052/2025;10673078000120-1-000139/2024-000002;10673078000120-1-000139/2024;15813205902372024;90237;2024;05;Pregão;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;05/06/2025;06/06/2025;06/06/2026;;;Ata de Registro de Preços;Não;Dado não disponível na API do governo;;
atas_manuais.json;2026-04-01 12:16:29;00053/2025;10673078000120-1-000139/2024-000003;10673078000120-1-000139/2024;15813205902372024;90237;2024;05;Pregão;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;05/06/2025;06/06/2025;06/06/2026;;;Ata de Registro de Preços;Não;Dado não disponível na API do governo;;
atas_manuais.json;2026-04-01 12:16:29;00060/2025;10673078000120-1-000062/2025-000001;10673078000120-1-000062/2025;15813205901892025;90189;2025;05;Pregão;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;05/08/2025;06/08/2025;05/08/2026;;;Ata de Registro de Preços;Não;Dado não disponível na API do governo;;
atas_manuais.json;2026-04-01 12:16:29;00001/2023;10673078000120-1-000047/2023-000001;10673078000120-1-000047/2023;15813205000202023;00020;2023;05;Pregão;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;01/11/2023;06/11/2023;06/11/2024;;;Ata de Registro de Preços;Não;Dado não disponível na API do governo;;
atas_manuais.json;2026-04-01 12:16:29;90014/2024;10673078000120-1-000080/2024-000001;10673078000120-1-000080/2024;15813205900142024;90014;2024;05;Pregão;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;05/12/2024;06/12/2024;06/12/2025;;;Ata de Registro de Preços;Não;Dado não disponível na API do governo;;
atas_manuais.json;2026-04-01 12:16:29;00005/2025;10673078000120-1-000007/2025-000001;10673078000120-1-000007/2025;15813205901052025;90105;2025;05;Pregão;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;06/03/2025;07/03/2025;07/03/2026;;;Ata de Registro de Preços;Não;Dado não disponível na API do governo;;
atas_manuais.json;2026-04-01 12:16:29;00006/2025;10673078000120-1-000007/2025-000002;10673078000120-1-000007/2025;15813205901052025;90105;2025;05;Pregão;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;06/03/2025;07/03/2025;07/03/2026;;;Ata de Registro de Preços;Não;Dado não disponível na API do governo;;
