arquivo_origem;data_extracao;numero_ata;uasg_gerenciadora;numero_item;codigo_pdm;descricao_item;fornecedor_cnpj;fornecedor_nome;codigo_unidade;nome_unidade;tipo_unidade;sigla_unidade;aceita_adesao;quantidade_registrada;saldo_adesoes;saldo_remanejamento_empenho;qtd_limite_adesao;qtd_limite_informado_compra;quantidade_empenhada;data_inclusao;data_atualizacao;data_exclusao
atas_unidades_RT_00001_2023_00002_p1.json;2026-02-20 11:07:56;00001/2023;158132;00002;;Prestação de Serviços de Agenciamento de Viagens- Repasse de seguro de viagem;26722189000110;CERRADO VIAGENS LTDA;158146;INST.FED.DE EDUC.,CIENC.E TEC.DO PIAUI;PARTICIPANTE;;Sim;60,00;1339,00;60,00;2482,00;2482,00;;06/11/2023;30/12/2024;
atas_unidades_RT_00001_2023_00002_p1.json;2026-02-20 11:07:56;00001/2023;158132;00002;;Prestação de Serviços de Agenciamento de Viagens- Repasse de seguro de viagem;26722189000110;CERRADO VIAGENS LTDA;158153;INST.FED.DE EDUC.,CIENC.E TEC.DE GOIAS;PARTICIPANTE;;Sim;50,00;1339,00;49,00;2482,00;2482,00;;06/11/2023;15/01/2024;
atas_unidades_RT_00001_2023_00002_p1.json;2026-02-20 11:07:56;00001/2023;158132;00002;;Prestação de Serviços de Agenciamento de Viagens- Repasse de seguro de viagem;26722189000110;CERRADO VIAGENS LTDA;158269;INST.FED.FARROUPILHA/CAMPUS JULIO CASTILHOS;PARTICIPANTE;;Sim;2,00;1339,00;2,00;2482,00;2482,00;;06/11/2023;16/08/2024;
atas_unidades_RT_00001_2023_00002_p1.json;2026-02-20 11:07:56;00001/2023;158132;00002;;Prestação de Serviços de Agenciamento de Viagens- Repasse de seguro de viagem;26722189000110;CERRADO VIAGENS LTDA;158284;INST.FED.DO MARANHAO/CAMPUS BARRA DO CORDA;PARTICIPANTE;;Sim;5,00;1339,00;0,00;2482,00;2482,00;;06/11/2023;19/09/2024;
atas_unidades_RT_00001_2023_00002_p1.json;2026-02-20 11:07:56;00001/2023;158132;00002;;Prestação de Serviços de Agenciamento de Viagens- Repasse de seguro de viagem;26722189000110;CERRADO VIAGENS LTDA;158296;INST.FED.DO MARANHAO/CAMPUS S.R.MANGABEIRAS;PARTICIPANTE;;Sim;10,00;1339,00;9,00;2482,00;2482,00;;06/11/2023;06/11/2024;
atas_unidades_RT_00001_2023_00002_p1.json;2026-02-20 11:07:56;00001/2023;158132;00002;;Prestação de Serviços de Agenciamento de Viagens- Repasse de seguro de viagem;26722189000110;CERRADO VIAGENS LTDA;158338;INST.FED.SUL-RIO-GRANDENSE/CAMPUS PASSO FUNDO;PARTICIPANTE;;Sim;4,00;1339,00;4,00;2482,00;2482,00;;06/11/2023;28/12/2023;
atas_unidades_RT_00001_2023_00002_p1.json;2026-02-20 11:07:56;00001/2023;158132;00002;;Prestação de Serviços de Agenciamento de Viagens- Repasse de seguro de viagem;26722189000110;CERRADO VIAGENS LTDA;158457;INST.FED.DO MARANHAO/CAMPUS TIMON;PARTICIPANTE;;Sim;10,00;1339,00;10,00;2482,00;2482,00;;06/11/2023;06/11/2023;
atas_unidades_RT_00001_2023_00002_p1.json;2026-02-20 11:07:56;00001/2023;158132;00002;;Prestação de Serviços de Agenciamento de Viagens- Repasse de seguro de viagem;26722189000110;CERRADO VIAGENS LTDA;158503;INSTITUTO FEDERAL FARROUPILH CAMPUS SAO BORJA;PARTICIPANTE;;Sim;16,00;1339,00;10,00;2482,00;2482,00;;06/11/2023;31/10/2024;
atas_unidades_RT_00001_2023_00002_p1.json;2026-02-20 11:07:56;00001/2023;158132;00002;;Prestação de Serviços de Agenciamento de Viagens- Repasse de seguro de viagem;26722189000110;CERRADO VIAGENS LTDA;158504;CAMPUS DE SANTA ROSA;PARTICIPANTE;;Sim;10,00;1339,00;10,00;2482,00;2482,00;;06/11/2023;18/12/2024;
atas_unidades_RT_00001_2023_00002_p1.json;2026-02-20 11:07:56;00001/2023;158132;00002;;Prestação de Serviços de Agenciamento de Viagens- Repasse de seguro de viagem;26722189000110;CERRADO VIAGENS LTDA;158505;INST.FED.FARROUPILHA CAMPUS PANAMBI;PARTICIPANTE;;Sim;6,00;1339,00;6,00;2482,00;2482,00;;06/11/2023;04/10/2024;
