14:27:37 | INFO     | ============================================================
14:27:37 | INFO     | 🏢 EXTRAINDO UNIDADES PARTICIPANTES DAS ATAS...
14:27:37 | INFO     | UASG        : RT (158132)
14:27:37 | INFO     | A extrair   : 1308
14:27:37 | INFO     | 🚀 INICIANDO EXTRAÇÃO DE UNIDADES | WORKERS: 3 | TOTAL: 1308
14:29:25 | INFO     | [14:29:25] ✅ DONE | 00005/2024 | item 00092 | 178/1308 (13.6%) | Falhas: 0
14:29:25 | INFO     | [14:29:25] ✅ DONE | 00005/2024 | item 00093 | 179/1308 (13.7%) | Falhas: 0
14:29:26 | INFO     | [14:29:26] ✅ DONE | 00005/2024 | item 00094 | 180/1308 (13.8%) | Falhas: 0
14:29:26 | INFO     | [14:29:26] ✅ DONE | 00005/2024 | item 00095 | 181/1308 (13.8%) | Falhas: 0
14:29:26 | INFO     | [14:29:26] ✅ DONE | 00005/2024 | item 00096 | 182/1308 (13.9%) | Falhas: 0
14:29:26 | INFO     | [14:29:26] ✅ DONE | 00005/2024 | item 00106 | 183/1308 (14.0%) | Falhas: 0
14:29:28 | INFO     | [14:29:28] ✅ DONE | 00005/2024 | item 00112 | 184/1308 (14.1%) | Falhas: 0
14:29:28 | INFO     | [14:29:28] ✅ DONE | 00005/2024 | item 00114 | 185/1308 (14.1%) | Falhas: 0
14:29:28 | INFO     | [14:29:28] ✅ DONE | 00005/2024 | item 00119 | 186/1308 (14.2%) | Falhas: 0
14:29:28 | INFO     | [14:29:28] ✅ DONE | 00005/2024 | item 00121 | 187/1308 (14.3%) | Falhas: 0
14:29:29 | INFO     | [14:29:29] ✅ DONE | 00005/2024 | item 00123 | 188/1308 (14.4%) | Falhas: 0
14:29:29 | INFO     | [14:29:29] ✅ DONE | 00005/2024 | item 00122 | 189/1308 (14.4%) | Falhas: 0
14:29:29 | INFO     | [14:29:29] ✅ DONE | 00005/2024 | item 00124 | 190/1308 (14.5%) | Falhas: 0
14:29:30 | INFO     | [14:29:30] ✅ DONE | 00005/2024 | item 00125 | 191/1308 (14.6%) | Falhas: 0
14:29:30 | INFO     | [14:29:30] ✅ DONE | 00006/2024 | item 00028 | 192/1308 (14.7%) | Falhas: 0
