09:12:02 | INFO     | ============================================================
09:12:02 | INFO     | 👥 EXTRAINDO RESPONSÁVEIS DOS CONTRATOS...
09:12:02 | INFO     | Contratos na fila : 1602
09:12:02 | INFO     | Validade cache    : 1 dia(s)
09:12:02 | INFO     | 🚀 INICIANDO EXTRAÇÃO DE RESPONSÁVEIS | WORKERS: 15 | TOTAL: 1602
09:12:14 | INFO     | [09:12:14] ✅ DONE | 608337 | 4 responsáveis | 182/1602 (11.4%) | Falhas: 0
09:12:14 | INFO     | [09:12:14] ✅ DONE | 643724 | 4 responsáveis | 183/1602 (11.4%) | Falhas: 0
09:12:15 | INFO     | [09:12:15] ✅ DONE | 682791 | 0 responsáveis | 184/1602 (11.5%) | Falhas: 0
09:12:15 | INFO     | [09:12:15] ✅ DONE | 695743 | 0 responsáveis | 185/1602 (11.5%) | Falhas: 0
09:12:15 | INFO     | [09:12:15] ✅ DONE | 708541 | 0 responsáveis | 186/1602 (11.6%) | Falhas: 0
09:12:15 | INFO     | [09:12:15] ✅ DONE | 695744 | 0 responsáveis | 187/1602 (11.7%) | Falhas: 0
09:12:15 | INFO     | [09:12:15] ✅ DONE | 724888 | 0 responsáveis | 188/1602 (11.7%) | Falhas: 0
09:12:15 | INFO     | [09:12:15] ✅ DONE | 724887 | 0 responsáveis | 189/1602 (11.8%) | Falhas: 0
09:12:15 | INFO     | [09:12:15] ✅ DONE | 724891 | 0 responsáveis | 190/1602 (11.9%) | Falhas: 0
09:12:15 | INFO     | [09:12:15] ✅ DONE | 724889 | 0 responsáveis | 191/1602 (11.9%) | Falhas: 0
09:12:15 | INFO     | [09:12:15] ✅ DONE | 724890 | 0 responsáveis | 192/1602 (12.0%) | Falhas: 0
09:12:15 | INFO     | [09:12:15] ✅ DONE | 724893 | 0 responsáveis | 193/1602 (12.0%) | Falhas: 0
09:12:15 | INFO     | [09:12:15] ✅ DONE | 787881 | 3 responsáveis | 194/1602 (12.1%) | Falhas: 0
09:12:15 | INFO     | [09:12:15] ✅ DONE | 804441 | 0 responsáveis | 195/1602 (12.2%) | Falhas: 0
09:12:15 | INFO     | [09:12:15] ✅ DONE | 804524 | 0 responsáveis | 196/1602 (12.2%) | Falhas: 0
09:12:15 | INFO     | [09:12:15] ✅ DONE | 720345 | 4 responsáveis | 197/1602 (12.3%) | Falhas: 0
09:12:15 | INFO     | [09:12:15] ✅ DONE | 804523 | 0 responsáveis | 198/1602 (12.4%) | Falhas: 0
09:12:15 | INFO     | [09:12:15] ✅ DONE | 804525 | 0 responsáveis | 199/1602 (12.4%) | Falhas: 0
09:12:16 | INFO     | [09:12:16] ✅ DONE | 804528 | 0 responsáveis | 200/1602 (12.5%) | Falhas: 0
09:12:16 | INFO     | [09:12:16] ✅ DONE | 804530 | 0 responsáveis | 201/1602 (12.5%) | Falhas: 0
09:12:16 | INFO     | [09:12:16] ✅ DONE | 804529 | 0 responsáveis | 202/1602 (12.6%) | Falhas: 0
09:12:16 | INFO     | [09:12:16] ✅ DONE | 804532 | 0 responsáveis | 203/1602 (12.7%) | Falhas: 0
09:12:16 | INFO     | [09:12:16] ✅ DONE | 804533 | 0 responsáveis | 204/1602 (12.7%) | Falhas: 0
09:12:16 | INFO     | [09:12:16] ✅ DONE | 804535 | 0 responsáveis | 205/1602 (12.8%) | Falhas: 0
